id,title,description,property_type,url,price,predicted_price,address,neighborhood,city,zip_code,latitude,longitude,living_area,rooms,bedrooms,bathrooms,year_built,floor,energy_label,has_balcony,has_garden,is_furnished,has_parking,scraped_at,listed_since,updated_at,is_active,property_age,amenity_score,bedroom_ratio,bathroom_ratio,area_per_room,area_per_bedroom,distance_to_center_km,is_central,neighborhood_avg_price,neighborhood_avg_area,neighborhood_property_count,property_type_house,property_type_studio,property_type_room,energy_label_encoded,price_difference,discount_pct,potential_savings
5007,Driekamerappartement (Bouwnr. 7),Apartment for sale: Driekamerappartement (Bouwnr. 7) 1087 VA Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-driekamerappartement-bouwnr-7/43732543/,470000.0,772864.8278361718,Driekamerappartement (Bouwnr. 7),Zuid,amsterdam,1087 VA,,,73.0,3.0,2.0,1.0,2026.0,2.0,A++,1,0,0,0,2026-05-23 19:40:51.595104+00:00,Log in to view,2026-05-23 19:40:51.595116+00:00,True,0.0,1,0.6666666666666666,0.3333333333333333,24.333333333333332,36.5,3.1470176740040827,0,672188,76.31,84336,0,0,0,7,302864.82783617184,0.3918729600933162,302864.82783617184
5008,Driekamerappartement (Bouwnr. 16),Apartment for sale: Driekamerappartement (Bouwnr. 16) 1087 VA Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-driekamerappartement-bouwnr-16/43732531/,515000.0,829669.5666745745,Driekamerappartement (Bouwnr. 16),Zuid,amsterdam,1087 VA,,,81.0,3.0,2.0,1.0,2026.0,4.0,A++,1,0,0,0,2026-05-23 19:40:51.598572+00:00,Log in to view,2026-05-23 19:40:51.598582+00:00,True,0.0,1,0.6666666666666666,0.3333333333333333,27.0,40.5,3.1470176740040827,0,672188,76.31,84336,0,0,0,7,314669.5666745745,0.3792709523332425,314669.5666745745
4983,Tweekamer appartement (Bouwnr. 13),Apartment for sale: Tweekamer appartement (Bouwnr. 13) 1087 VA Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-tweekamer-appartement-bouwnr-13/43732545/,365000.0,586292.1394358283,Tweekamer appartement (Bouwnr. 13),Zuid,amsterdam,1087 VA,,,58.0,2.0,1.0,1.0,2026.0,3.0,A++,1,0,0,0,2026-05-23 19:40:51.555980+00:00,Log in to view,2026-05-23 19:40:51.555987+00:00,True,0.0,1,0.5,0.5,29.0,58.0,3.1470176740040827,0,672188,76.31,84336,0,0,0,7,221292.1394358283,0.3774434698182569,221292.1394358283
4986,Tweekamer appartement (Bouwnr. 14),Apartment for sale: Tweekamer appartement (Bouwnr. 14) 1087 VA Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-tweekamer-appartement-bouwnr-14/43059420/,365000.0,586292.1394358283,Tweekamer appartement (Bouwnr. 14),Zuid,amsterdam,1087 VA,,,58.0,2.0,1.0,1.0,2026.0,3.0,A++,1,0,0,0,2026-05-23 19:40:51.561511+00:00,Log in to view,2026-05-23 19:40:51.561517+00:00,True,0.0,1,0.5,0.5,29.0,58.0,3.1470176740040827,0,672188,76.31,84336,0,0,0,7,221292.1394358283,0.3774434698182569,221292.1394358283
5001,Tweekamer appartement (Bouwnr. 20),Apartment for sale: Tweekamer appartement (Bouwnr. 20) 1087 VA Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-tweekamer-appartement-bouwnr-20/43732544/,377000.0,595435.5877543892,Tweekamer appartement (Bouwnr. 20),Zuid,amsterdam,1087 VA,,,58.0,2.0,1.0,1.0,2026.0,4.0,A++,1,0,0,1,2026-05-23 19:40:51.584141+00:00,Log in to view,2026-05-23 19:40:51.584148+00:00,True,0.0,2,0.5,0.5,29.0,58.0,3.1470176740040827,0,672188,76.31,84336,0,0,0,7,218435.58775438915,0.3668500711860231,218435.58775438915
4456,Akerpolderstraat 43,Apartment for sale: Akerpolderstraat 43 1066 ET Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-akerpolderstraat-43/43386784/,155000.0,242287.35345998293,Akerpolderstraat 43,Nieuw-West,amsterdam,1066 ET,52.3419849,4.7968041,22.0,1.0,1.0,1.0,1921.0,2.0,G,0,0,0,1,2026-05-23 19:40:49.915922+00:00,Log in to view,2026-05-23 19:40:49.915931+00:00,True,105.0,1,1.0,1.0,22.0,22.0,7.351132222307357,0,419951,78.08,75057,0,0,0,0,87287.35345998293,0.360263762072087,87287.35345998293
5005,Maissonnette (Bouwnr. 3),Apartment for sale: Maissonnette (Bouwnr. 3) 1087 VA Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-maissonnette-bouwnr-3/43732538/,555000.0,858145.9471514288,Maissonnette (Bouwnr. 3),Zuid,amsterdam,1087 VA,,,90.0,4.0,3.0,1.0,2026.0,0.0,A++,1,0,0,0,2026-05-23 19:40:51.590141+00:00,Log in to view,2026-05-23 19:40:51.590151+00:00,True,0.0,1,0.75,0.25,22.5,30.0,3.1470176740040827,0,672188,76.31,84336,0,0,0,7,303145.9471514288,0.3532568651727671,303145.9471514288
4522,Olympiaplein 103-1,Apartment for sale: Olympiaplein 103-1 1077 CT Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-olympiaplein-103-1/43300591/,739000.0,1125751.846499,Olympiaplein 103-1,Zuid,amsterdam,1077 CT,52.3464202,4.8687152,125.0,5.0,3.0,1.0,1940.0,1.0,G,1,0,0,1,2026-05-23 19:40:50.150840+00:00,Log in to view,2026-05-23 19:40:50.150851+00:00,True,86.0,2,0.6,0.2,25.0,41.666666666666664,3.364824256035136,0,672188,76.31,84336,0,0,0,0,386751.846499,0.34354982201607565,386751.846499
5023,Voetboogstraat 12-1,Apartment for sale: Voetboogstraat 12-1 1012 XL Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-voetboogstraat-12-1/43285419/,695000.0,1044196.5124489795,Voetboogstraat 12-1,Centrum,amsterdam,1012 XL,52.3681747,4.890647,123.0,6.0,4.0,1.0,1783.0,1.0,A,0,0,0,0,2026-05-23 19:40:51.628125+00:00,Log in to view,2026-05-23 19:40:51.628132+00:00,True,243.0,0,0.6666666666666666,0.16666666666666666,20.5,30.75,0.5495893634381287,1,647612,71.4,57168,0,0,0,5,349196.51244897954,0.33441647073691183,349196.51244897954
4794,Monnikenstraat 23-1,Apartment for sale: Monnikenstraat 23-1 1012 BP Amsterdam [funda],apartment,https://www.funda.nl/en/detail/koop/amsterdam/appartement-monnikenstraat-23-1/43239327/,200000.0,297613.5949746128,Monnikenstraat 23-1,Centrum,amsterdam,1012 BP,52.3731383,4.8998721,26.0,1.0,1.0,1.0,1906.0,0.0,A,0,0,0,1,2026-05-23 19:40:51.179646+00:00,Log in to view,2026-05-23 19:40:51.179654+00:00,True,120.0,1,1.0,1.0,26.0,26.0,0.5074873860793748,1,647612,71.4,57168,0,0,0,5,97613.59497461282,0.32798768813951357,97613.59497461282
